English,Español
the,el
I,I
to,a
and,y
a,a
of,de
was,era
he,él
you,tú
it,él
in,en
her,su
she,ella
that,eso
my,mi
his,su
me,a mí
on,en
with,con
at,en
as,como
had,tenía
for,para
but,pero
him,a él
said,dicho
be,ser
up,arriba
out,afuera
look,mirar
so,entonces
have,tener
what,qué
not,no
just,justo
like,como
go,ir
they,ellos
is,es
this,este
from,de
all,todo
we,nosotros
were,eran
back,atrás
do,hacer
one,uno
about,acerca de
know,saber
if,si
when,cuando
get,conseguir
then,entonces
into,en
would,haría
no,No
there,allá
I'm,Soy
could,podría
don't,no
ask,preguntar
down,abajo
time,tiempo
didn't,no
want,desear
eye,ojo
them,a ellos
over,encima
your,su
are,son
or,o
been,estado
now,ahora
an,un
by,por
think,pensar
see,ver
hand,mano
it's,es
say,decir
how,cómo
around,alrededor
head,cabeza
did,hizo
well,Bueno
before,antes
off,apagado
who,OMS
more,más
even,incluso
turn,doblar
come,venir
smile,sonrisa
way,forma
really,en realidad
can,poder
face,rostro
other,otro
some,alguno
right,bien
their,su
only,solo
walk,caminar
make,hacer
got,consiguió
try,intentar
something,algo
room,habitación
again,de nuevo
thing,cosa
after,después
still,aún
thought,pensamiento
door,puerta
here,aquí
too,también
little,pequeño
because,porque
why,por qué
away,lejos
let,dejar
take,llevar
two,dos
start,comenzar
good,bien
where,dónde
never,nunca
through,a través de
day,día
much,mucho
tell,decir
wasn't,no
girl,chica
feel,sentir
oh,Vaya
you're,estás
call,llamar
talk,hablar
will,voluntad
long,largo
than,que
us,a nosotros
made,hecho
friend,amigo
knew,sabía
open,abierto
need,necesidad
first,primero
which,cual
people,gente
that's,eso es
went,fue
sure,seguro
seem,parecer
stop,detener
voice,voz
very,muy
felt,sintió
took,tomó
our,nuestro
pull,jalar
laugh,reír
man,hombre
okay,bueno
close,cerca
any,cualquier
came,vino
told,dijo
love,amar
watch,mirar
arm,brazo
anything,cualquier cosa
I'll,Enfermo
though,aunque
put,poner
left,izquierda
work,trabajar
guy,chico
hair,cabello
next,próximo
couldn't,no pude
yeah,sí
while,mientras
mean,significar
home,hogar
few,pocos
saw,sierra
place,lugar
school,escuela
help,ayuda
wait,esperar
late,tarde
year,año
can't,no poder
house,casa
happen,suceder
last,último
always,siempre
move,mover
old,viejo
